year,industryMediumClassName,rankInIndustry,brandName,corpName,franchiseStoreCount,averageSalesAmountKrwAssumed,startupTotalAmountKrwAssumed,newFranchiseRegistrationCount,contractEndCount,contractCancellationCount
2025,일식,11,으뜸스시,(주)으뜸에프엔비,9,1209445000,134750000,9,0,0
2025,일식,12,스시노칸도,(주)스시히로미,27,1138462000,182815000,3,2,2
2025,일식,13,회뜨는중,회뜨는중(영등포점),5,1135382000,179000000,3,0,0
2025,일식,14,스시투어,스시투어,12,1113858000,158750000,2,0,1
2025,일식,15,미카도스시,(주)올바른에프앤비,78,1065704000,170550000,19,10,0
2025,일식,16,토끼정,(주)에스앤에스코퍼레이션,10,1026767000,172800000,0,4,0
2025,일식,17,스시벅스,(주)한패,3,992455000,128200000,2,2,0
2025,일식,18,바른초밥,바른F&B,13,979543000,247200000,2,0,1
2025,일식,19,오사카고양이,오사카고양이(건대점),3,960108000,120500000,3,0,0
2025,일식,20,타키,(주)온기에프앤비,11,952541000,32000000,11,0,0
2025,일식,21,코코스키,(주)어다리,8,896779000,219646000,8,0,0
2025,일식,22,스시선 회전초밥 전문점,스시선가맹본부,12,884774000,194400000,2,1,0
2025,일식,23,멘노아지,뉴드림솔루션,2,854545000,131500000,2,0,0
2025,일식,24,카이카츠,(주)호진컴퍼니,2,841541000,142700000,1,0,0
2025,일식,25,풍바오,풍바오,8,803434000,86400000,8,0,0
2025,일식,26,わびさび(와비사비),동행푸드,7,794839000,63300000,7,0,0
2025,일식,27,삼동소바,(주)삼동에프앤비,78,781902000,159200000,35,0,0
2025,일식,28,시선,(주)위벨롭먼트,119,779920000,230550000,68,5,0
2025,일식,29,스시오블랙컨테이너,(주)제이알에프앤씨,4,757660000,147070000,0,0,2
2025,일식,30,온기정,(주)팬아시아다인힐,23,715744000,156050000,4,0,2
2025,기타 외식,1,바른식 시골보쌈&감자옹심이,(주)바른식,3,5018930000,147800000,0,1,0
2025,기타 외식,2,연타발,(주)행복한구이세상,7,2872029000,934750000,0,0,0
2025,기타 외식,3,두껍삼,(주)피큐아이넷,6,2246211000,84300000,0,0,0
2025,기타 외식,4,삼진어묵,삼진식품(주),4,1727051000,103500000,3,0,0
2025,기타 외식,5,우텐더,(주)우텐더코리아,3,1466667000,653100000,0,0,1
2025,기타 외식,6,황금소,(주)한창이앤피,2,1443221000,306600000,0,1,0
2025,기타 외식,7,야들야들한보약족발,(주)야들야들한보약족발,8,1440529000,108350000,3,0,0
2025,기타 외식,8,마장동골목집,(주)티아이코스모스,3,1397598000,289200000,3,0,0
2025,기타 외식,9,마루샤브,마루앤F/D,8,1370060000,415200000,0,2,0
2025,기타 외식,10,전원숯불,전원숯불갈비,22,1351889000,394000000,1,2,0
2025,기타 외식,11,청초수물회&섭국,(주)청초수씨푸드,6,1349336000,143600000,0,4,0
2025,기타 외식,12,고굽남 고기굽는남자,(주)엔제이컴퍼니,24,1317380000,176100000,3,0,0
2025,기타 외식,13,오장동흥남집,(주)오제이푸드,4,1276498000,124500000,1,1,0
2025,기타 외식,14,로니로티,(주)엘케이푸드글로벌,6,1227787000,329150000,0,2,0
2025,기타 외식,15,골치기,(주)어베럴밸류,1,1225902000,72700000,0,0,0
2025,기타 외식,16,소담촌,(주)웰빙코리아,108,1220796000,53060000,12,0,0
2025,기타 외식,17,봄담아,(주)봄담아,9,1189226000,255300000,9,1,0
2025,기타 외식,18,행복한우동가게,행복한우동가게체인사업본부,9,1185341000,82300000,3,0,0
2025,기타 외식,19,깐깐한족발,(주)깐깐한패밀리,29,1134764000,135650000,2,1,0
2025,기타 외식,20,신도세기,더에스지파트너스(주),5,1125310000,210639000,0,2,0
2025,기타 외식,21,무야호랜드,(주)피플블라썸,3,1120834000,91150000,3,0,0
2025,기타 외식,22,남부,(주)앰엔앰컴퍼니,3,1028360000,95000000,1,4,0
2025,기타 외식,23,귀한족발,(주)귀한사람들,148,999168000,91110000,59,0,8
2025,기타 외식,24,문가네 정육식당,(주)문가네푸드,8,987543000,117700000,0,0,1
2025,기타 외식,25,농장사람들,농장사람들(주),5,970568000,222400000,0,1,0
2025,기타 외식,26,미미옥,(주)로프컴퍼니,1,961527000,74300000,0,0,0
2025,기타 외식,27,엉터리생고기,(주)엉터리,15,959527000,111700000,0,5,0
2025,기타 외식,28,돈수백,(주)푸디안,8,950066000,131050000,1,5,0
2025,기타 외식,29,메이크어딜리버리,(주)메이크어딜리버리,44,950021000,33590000,7,4,0
2025,기타 외식,30,몽뜨레셰프 인더키친 패밀리레스토랑,(주)제이앤피몽뜨레,3,923709000,279900000,1,0,0
2025,패스트푸드,1,맥도날드,한국맥도날드(유),55,3072722000,1032256000,0,2,15
2025,패스트푸드,2,KFC(케이에프씨),(주)케이에프씨코리아,15,1617254000,616708000,15,0,0
2025,패스트푸드,3,버거킹(Burger King),(주)비케이알,132,1077698000,595605000,5,2,1
2025,패스트푸드,4,롯데리아,롯데지알에스(주),1209,935979000,418981000,51,9,24
2025,패스트푸드,5,바스버거(BAS BURGER),(주)테이스터스,17,694633000,98593000,17,0,0
2025,패스트푸드,6,계남버거,(주)니처스,3,586051000,85850000,3,0,0
2025,패스트푸드,7,노브랜드 버거(No Brand Burger),(주)신세계푸드,189,572357000,181470000,32,12,0
2025,패스트푸드,8,세븐패티버거,(주)오오티오,7,548357000,53600000,5,1,0
2025,패스트푸드,9,맘스터치,(주)맘스터치앤컴퍼니,1444,544997000,108961000,65,30,0
2025,패스트푸드,10,버거스올마이티,(주)올마이티컴퍼니,8,530779000,188200000,3,11,1
2025,패스트푸드,11,버거리(BURGERRY),(주)보승에프앤비,86,485991000,69850000,44,0,2
2025,패스트푸드,12,왓더버거,라이징스타(주),71,457795000,112720000,38,7,0
2025,패스트푸드,13,모스버거(MOSBURGER),(주)모스버거코리아,7,412856000,186180000,2,2,0
2025,패스트푸드,14,어바웃피자(aboutpizza),어바웃피자&비어,2,370809000,58900000,2,0,0
2025,패스트푸드,15,프랭크버거,(주)프랭크에프앤비,622,369071000,91355000,93,62,0
2025,패스트푸드,16,코코스타코,(주)모어베러라이프,6,366179000,70750000,3,0,0
2025,패스트푸드,17,피제리아 나인로드,(주)씨엠월드에프앤씨,3,353020000,452500000,0,1,0
2025,패스트푸드,18,기프트버거,기프트버거,4,335266000,75600000,3,1,0
2025,패스트푸드,19,더블다운버거,더블다운버거(수영본점),2,288854000,67550000,1,1,0
2025,패스트푸드,20,비스트로피자,(주)글로비,68,279567000,60970000,3,22,0
2025,패스트푸드,21,엘에이도그,엘에이도그&부리또,1,274020000,28000000,1,0,0
2025,패스트푸드,22,퀴즈노스서브,(주)유썸,66,271324000,159385000,3,19,0
2025,패스트푸드,23,힘난다버거,(주)힘난다,26,263127000,88100000,8,10,0
2025,패스트푸드,24,텐버거(TENBURGER),텐버거(주),5,262116000,75900000,1,1,0
2025,패스트푸드,25,라이크어시네마,라이크어시네마(주),2,257143000,115000000,1,0,2
2025,패스트푸드,26,키친박스,(주)더제이케이푸드스토리,6,251998000,116400000,0,0,3
2025,패스트푸드,27,버거베어,(주)씽크리에이티브,4,250753000,101800000,2,5,0
2025,패스트푸드,28,버거운버거(BURGER UN BURGER),(주)안스푸드,25,239638000,90945000,7,1,0
2025,패스트푸드,29,잇샌드(itsand),(주)안다에프엔비,23,236275000,69200000,5,1,0
2025,패스트푸드,30,밀플랜비,(주)웨이브,19,232147000,72300000,1,0,2
2025,주점,1,멕시타이거,(주)아지트메이커,1,2758362000,189800000,1,0,0
2025,주점,2,룸의정석,(주)한경기획,11,1912091000,367110000,1,2,0
2025,주점,3,미디어포차 뉴트로2010,(주)시선프랜차이즈,7,1908045000,97900000,5,3,0
2025,주점,4,사랑각,(주)사랑에프앤씨,11,1393230000,118168000,1,1,0
2025,주점,5,구현포차,(주)프로그로스,1,1261831000,198800000,0,1,0
2025,주점,6,임창정의 소주한잔,(주)곳간,2,1177247000,213810000,0,2,1
2025,주점,7,시장을 여는 사람들,(주)에이치더블,29,998125000,231000000,5,0,0
2025,주점,8,주도락,(주)고엘컴퍼니,3,942549000,120800000,3,0,0
2025,주점,9,잔잔,(주)바론에프엔씨,42,927693000,214000000,8,2,0
2025,주점,10,토리고야,토리고야패밀리(주),4,844218000,100100000,0,0,1
2025,주점,11,용용선생,(주)아지트메이커,111,840650000,350400000,5,6,0
2025,주점,12,단토리,농부의마음,18,817380000,98700000,16,0,0
2025,주점,13,하나마토,(주)로코모티브서울,15,816761000,16300000,15,0,0
2025,주점,14,합(合),(주)합에프앤비(합F&B),4,768972000,90450000,1,1,0
2025,주점,15,인생집,인생집청주복대지웰시티점,7,756795000,65100000,7,0,0
2025,주점,16,준코노래타운,(주)준코,60,748028000,344320000,7,0,1
2025,주점,17,몽담(MONGDAM),(주)대승인터컴,3,727044000,205400000,1,0,0
2025,주점,18,당나발포차 ,(주)당나발에프엔씨,7,725668000,91000000,7,0,0
2025,주점,19,선주가,(주)덩실덩실,12,722915000,107600000,10,0,0
2025,주점,20,생마차,(주)트렌차이즈,181,699731000,82940000,167,0,0
2025,주점,21,일일수작,(주)위너스에프앤디,64,698969000,114780000,15,11,0
2025,주점,22,도시맥주,(주)어세이블,7,687988000,75600000,6,0,0
2025,주점,23,링코(RINKO),(주)드링코코리아,30,666272000,566000000,3,2,1
2025,주점,24,민생시장,(주)상생히어로,3,662946000,113650000,4,1,0
2025,주점,25,마스타 하이볼,(주)랜돌프,10,657397000,116100000,10,0,0
2025,주점,26,압구정수산시장,(주)회춘,6,646972000,370200000,5,2,0
2025,주점,27,수지상회,수지앤컴퍼니(주),7,641587000,149700000,0,1,0
2025,주점,28,질러스타 노래타운(ZILLER STAR MUSIC TOWN),(주)세원바이오,7,638994000,319000000,5,0,0
2025,주점,29,손에손잡고,(주)바론에프엔씨,3,638521000,214000000,0,1,0
2025,주점,30,주신당 ,(주)티디티디,5,632681000,263500000,5,0,0
2025,피자,1,미친피자,(주)미친친구들,31,2496871000,74700000,6,0,0
2025,피자,2,큭큭피자,(주)씨피푸드,2,1452718000,58050000,2,0,0
2025,피자,3,예술피자,(주)예술피자,10,1090433000,106500000,10,0,0
2025,피자,4,노모어피자,(주)노모어에프앤비,174,1045639000,143730000,78,0,0
2025,피자,5,외계인피자,(주)에일리언푸드,19,1035644000,57550000,16,1,0
2025,피자,6,도미노피자,청오디피케이(주),373,730953000,252500000,4,0,0
