sourceDataset,year,industryLargeClassName,industryMediumClassName,corpName,brandName,franchiseStoreCount,newFranchiseRegistrationCount,contractEndCount,contractCancellationCount,nameChangeCount,averageSalesAmountRaw,averageSalesAmountKrwAssumed,areaUnitAverageSalesAmountRaw,areaUnitAverageSalesAmountKrwAssumed,amountUnitAssumption
brand_franchise_stats,2023,외식,아이스크림/빙수 ,롯데제과칠곡대리점,SG무인셀프아이스크림할인점,39,7,3,0,3,106676,106676000,9459,9459000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,제과제빵,㈜유진에프앤비,훈이네고로켓,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,제과제빵,화미소cake수제떡공방,화미소 케이크,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,제과제빵,홍자씨샌드위치,홍자씨샌드위치,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,제과제빵,(주)홍베이팡,홍베이팡,9,1,9,0,0,23205,23205000,3089,3089000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,제과제빵,(주)에이블비즈,홍미당,4,1,0,0,0,560000,560000000,28951,28951000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,제과제빵,(주)타이웨이,홍루이젠,200,26,48,25,16,101873,101873000,10135,10135000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,제과제빵,(주)네오푸드,홀리앤졸리,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,제과제빵,호배기,호배기,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,제과제빵,(주)호밀호두,호밀호두,54,4,0,2,0,155896,155896000,13191,13191000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,제과제빵,(주)에스엠홀딩스,호두파야,2,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,제과제빵,(주)호두앤,호두앤미,17,11,1,0,1,141282,141282000,16876,16876000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,제과제빵,호두랑파이랑,호두랑파이랑,5,0,0,0,0,41394,41394000,3066,3066000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,제과제빵,(주)골든박스에프앤비(goldenboxf&b),호두당,39,29,7,0,0,154395,154395000,17275,17275000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,제과제빵,(주)오감푸드,허니도우2020(HONEY DOUGH 2020),0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,다이츠컴퍼니,루크커피브루어스(LEWK COFFEE BREWERS),0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,(주)교동에프씨,루아 푸푸 커피,16,3,0,0,0,146232,146232000,7623,7623000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,루메,루메(LUME),1,1,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,(주)루머팡,루머팡,7,0,0,0,0,22972,22972000,2088,2088000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,(주)이랜드이츠,루고,10,0,0,0,1,105509,105509000,4901,4901000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,롤키,롤키,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,(주)엘에이치지,롤스커피,4,3,0,1,0,124206,124206000,8613,8613000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,유어타입,로우라이즈,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,㈜블루텍,로보시타,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,(주)로반스윗,로반스윗,6,2,3,0,0,122000,122000000,11616,11616000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,서비스,스포츠 관련,(주)파이브앤식스,엠블 빌리어드 (MVL BILLIARD),0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,서비스,스포츠 관련,㈜엠투피,엠투피(M2P),1,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,(주)그릴식탁,우시야,8,4,0,0,0,684995,684995000,38865,38865000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,(주)예스프랜차이즈,우연희,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,우와,우와,4,1,0,0,0,725976,725976000,26545,26545000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,에이치와이코리아(주),우육면공방,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,(주)이엔에프엔비우이며녹,우이며녹,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,(주)가온지앤에프,우치노콧페,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,우키샌드위치,우키샌드위치,1,0,0,0,0,294014,294014000,32668,32668000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,(주)우텐더코리아,우텐더,3,0,0,0,0,236667,236667000,2851,2851000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,(주)리더스코리아코퍼레이션,울동네꾸이집,7,2,1,0,0,177323,177323000,9548,9548000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,(주)웅자네푸드,웅이네 오돌뼈,94,17,16,0,14,263287,263287000,13771,13771000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,원닭강정,원닭강정,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,(주)나운에프에스,원당감자탕,25,1,0,6,1,463531,463531000,12436,12436000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,만돈창업컨설팅,원더돈까스,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,원시다자(주),원시다자,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,봉평산골메밀촌,원조강영숙봉평메밀촌,17,0,1,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,(주)광개토에프에스,원조김할머니의령소바,12,0,0,0,0,285343,285343000,8639,8639000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,(주)케리온,원조설악추어탕,32,1,0,0,0,250088,250088000,4112,4112000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,(주)솔라벨,원트피자(Want Pizza),3,3,1,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,(주)웰빙푸드에프씨,월남쌈김상사,17,0,2,0,0,524790,524790000,6433,6433000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,월드와이드푸드,월드와이드불닭발,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,월천삼계탕,월천삼계탕,1,0,0,2,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,(주)월화,월화,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,벗붕,월화식당,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,(주)교동에프씨,위드루아 촘촘,4,2,0,0,0,192352,192352000,9049,9049000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,기타 외식,(주)제이케이파트너스그룹,위드맘,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,(주)씨엠에프인터내셔널,티피킷,0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,(주)강남사람들,티블랙,5,1,0,0,0,55729,55729000,4767,4767000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,(주)트러스트에프앤비(TRUSTF&B),트러스트 스페셜티 커피,7,5,0,0,0,224111,224111000,19486,19486000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,(주)투빅,투빅커피(TOOBIG COFFEE),0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,(주)위드디에이치,투달러커피(2Dollars Coffee),0,0,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,(주)에스앤큐플러스,토프레소,159,10,35,0,11,78042,78042000,3623,3623000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,토리스타씨앤에스(toristarC&S),토리스타특별한커피,14,3,1,0,0,72763,72763000,2493,2493000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,(주)템포컴퍼니,템포커피(tempo coffee),4,4,0,0,0,0,0,0,0,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
brand_franchise_stats,2023,외식,커피,(주)더쉐프,텐퍼센트스페셜티커피,413,170,0,1,60,229587,229587000,17392,17392000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.
