id,sourceDataset,year,industryLargeClassName,industryMediumClassName,corpName,brandName,franchiseStoreCount,newFranchiseRegistrationCount,contractEndCount,contractCancellationCount,nameChangeCount,averageSalesAmountRaw,averageSalesAmountKrwAssumed,areaUnitAverageSalesAmountRaw,areaUnitAverageSalesAmountKrwAssumed,amountUnitAssumption,hasStartupStats,franchiseFeeAmountRaw,franchiseFeeAmountKrwAssumed,educationFeeAmountRaw,educationFeeAmountKrwAssumed,depositAmountRaw,depositAmountKrwAssumed,otherStartupAmountRaw,otherStartupAmountKrwAssumed,startupTotalAmountRaw,startupTotalAmountKrwAssumed
2025||외식||기타 외식||(주)행복한구이세상||연타발,brand_franchise_stats,2025,외식,기타 외식,(주)행복한구이세상,연타발,7,0,0,0,0,2872029,2872029000,17467,17467000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,33000,33000000,11000,11000000,30000,30000000,860750,860750000,934750,934750000
2025||외식||주점||(주)아지트메이커||멕시타이거,brand_franchise_stats,2025,외식,주점,(주)아지트메이커,멕시타이거,1,1,0,0,0,2758362,2758362000,14101,14101000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,22000,22000000,11000,11000000,5000,5000000,151800,151800000,189800,189800000
2025||외식||한식||(주)엔조이푸드시스템||소플러스,brand_franchise_stats,2025,외식,한식,(주)엔조이푸드시스템,소플러스,39,10,2,0,0,2624065,2624065000,20690,20690000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,13200,13200000,36300,36300000,20000,20000000,575000,575000000,644500,644500000
2025||외식||한식||(주)에프엘푸드시스템||화사랑화로구이,brand_franchise_stats,2025,외식,한식,(주)에프엘푸드시스템,화사랑화로구이,4,0,0,1,0,2529737,2529737000,10817,10817000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,7700,7700000,3300,3300000,5000,5000000,147950,147950000,163950,163950000
2025||외식||한식||에스에이㈜||유박사곱창,brand_franchise_stats,2025,외식,한식,에스에이㈜,유박사곱창,1,0,0,0,1,2510702,2510702000,16303,16303000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,5500,5500000,3300,3300000,1000,1000000,43500,43500000,53300,53300000
2025||외식||피자||(주)미친친구들||미친피자,brand_franchise_stats,2025,외식,피자,(주)미친친구들,미친피자,31,6,0,0,4,2496871,2496871000,166458,166458000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,3300,3300000,2200,2200000,1000,1000000,68200,68200000,74700,74700000
2025||외식||한식||(주)에스이컴퍼니||샤브20,brand_franchise_stats,2025,외식,한식,(주)에스이컴퍼니,샤브20,59,28,0,0,2,2477226,2477226000,23222,23222000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,11000,11000000,5500,5500000,0,0,484000,484000000,500500,500500000
2025||외식||일식||(주)상무프랜차이즈||상무초밥,brand_franchise_stats,2025,외식,일식,(주)상무프랜차이즈,상무초밥,50,0,0,0,6,2449723,2449723000,34782,34782000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,22000,22000000,3300,3300000,20000,20000000,218900,218900000,264200,264200000
2025||외식||중식||(주)에이치에스푸드컴퍼니||일일향,brand_franchise_stats,2025,외식,중식,(주)에이치에스푸드컴퍼니,일일향,16,3,3,0,1,2377222,2377222000,20100,20100000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,22000,22000000,11000,11000000,3500,3500000,261100,261100000,297600,297600000
2025||외식||한식||(주)함평원||자반고,brand_franchise_stats,2025,외식,한식,(주)함평원,자반고,6,3,1,0,1,2267854,2267854000,22753,22753000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,22000,22000000,6600,6600000,20000,20000000,151650,151650000,200250,200250000
2025||외식||기타 외식||(주)피큐아이넷||두껍삼,brand_franchise_stats,2025,외식,기타 외식,(주)피큐아이넷,두껍삼,6,0,0,0,0,2246211,2246211000,15726,15726000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,11000,11000000,5500,5500000,4000,4000000,63800,63800000,84300,84300000
2025||외식||한식||삼해진미동해왕코다리||삼해진미동해왕코다리,brand_franchise_stats,2025,외식,한식,삼해진미동해왕코다리,삼해진미동해왕코다리,1,1,0,0,0,2204420,2204420000,17403,17403000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,11000,11000000,2200,2200000,0,0,98000,98000000,111200,111200000
2025||외식||한식||(주)피에프에프앤비||팔당족발,brand_franchise_stats,2025,외식,한식,(주)피에프에프앤비,팔당족발,2,2,0,0,0,2204324,2204324000,49535,49535000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,11000,11000000,5500,5500000,2000,2000000,108625,108625000,127125,127125000
2025||외식||한식||(주)먹보에프앤비||먹보한우,brand_franchise_stats,2025,외식,한식,(주)먹보에프앤비,먹보한우,10,0,0,0,0,2182588,2182588000,17422,17422000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,27500,27500000,3850,3850000,0,0,148340,148340000,179690,179690000
2025||외식||중식||(주)한빛||무궁화반점,brand_franchise_stats,2025,외식,중식,(주)한빛,무궁화반점,7,4,1,0,2,2083317,2083317000,48449,48449000,FTC franchise API raw amount values are assumed to be in KRW thousand units based on franchise disclosure conventions.,true,5500,5500000,5500,5500000,2000,2000000,139700,139700000,152700,152700000
